text,label
This movie was meh,0
The film was mid nothing special,0
That movie absolutely slaps,1
The acting was fire highly recommend,1
This was cap total waste of time,0
The cinematography was bussin,1
No cap this film was amazing,1
The plot was lowkey boring,0
This movie hits different in a good way,1
The special effects were mid at best,0
Oh great another superhero movie,0
Just what we needed more CGI explosions,0
Wow I am so glad I spent fifteen dollars on this,0
The director really outdid themselves this time,1
Absolutely brilliant work truly inspiring,1
This movie was absolutely fantastic I loved every minute,1
Terrible waste of time the plot made no sense,0
One of the best films I have seen in years,1
I fell asleep halfway through the movie,0
The soundtrack was incredible,1
The characters felt flat and uninteresting,0
A masterpiece of modern cinema,1
The pacing was awful and dragged forever,0
The performances were outstanding,1
I regret watching this movie,0
The visuals were stunning,1
The dialogue felt forced and unnatural,0
An unforgettable cinematic experience,1
This film was painfully boring,0
A truly heartwarming story,1
The ending was disappointing,0
The plot twists were brilliant,1
This was not worth my time,0
An instant classic,1
The movie was confusing and poorly written,0
Amazing storytelling and direction,1
I would never recommend this film,0
A beautiful and emotional journey,1
The script was weak and predictable,0
A must watch for everyone,1
The acting was terrible,0
A delightful surprise,1
It felt like a complete mess,0
I loved the chemistry between the actors,1
The editing was sloppy,0
A visually stunning film,1
The jokes were not funny at all,0
A powerful and moving story,1
The movie felt way too long,0
An excellent film from start to finish,1
The plot holes ruined the experience,0
One of the worst movies I have seen,0
